benchmark, unique_loop_id, loop_nest_level, dynOp_count, floatOp_count, branchOp_count, memOp_count, operands_count, implicit_instr_count, unique_pred_count, trip_count, loop_calls, reuse_count, use_count, def_count, store_count, load_count
447.dealII,447.dealII_1,1,10,0,0.1,0.6,1.9,0.1,0,2,0,0,1.2,0, 0.1, 0.3
447.dealII,447.dealII_2,1,30,0.0666667,0.0333333,0.533333,1.8,0.166667,0,2,0,0,1.4,0, 0.0333333, 0.366667
447.dealII,447.dealII_3,1,37,0.0810811,0.027027,0.486486,1.91892,0.162162,0,2,0,0,1.43243,0, 0.027027, 0.324324
447.dealII,447.dealII_4,1,68,0.117647,0.0147059,0.441176,1.95588,0.176471,0,2,0,0,1.47059,0, 0.0147059, 0.294118
447.dealII,447.dealII_5,2,17,0.117647,0.0588235,0.529412,2.11765,0.0588235,0,1,0,0,1.35294,0, 0.0588235, 0.470588
447.dealII,447.dealII_6,1,23,0,0.0869565,0.478261,2.21739,0.217391,0,1,0,0,1.34783,0, 0.0434783, 0.304348
447.dealII,447.dealII_7,2,17,0.117647,0.0588235,0.529412,2.11765,0.0588235,0,1,0,0,1.35294,0, 0.0588235, 0.470588
447.dealII,447.dealII_8,1,29,0,0.0689655,0.448276,2.48276,0.206897,0,1,0,0,1.41379,0, 0.0344828, 0.275862
447.dealII,447.dealII_9,2,28,0.25,0.0357143,0.464286,2.14286,0.0357143,0,1,0,0,1.35714,0, 0.0357143, 0.428571
447.dealII,447.dealII_10,1,53,0,0.0377358,0.433962,2.60377,0.226415,0,1,0,0,1.49057,0, 0.0188679, 0.264151
447.dealII,447.dealII_11,2,40,0.05,0.025,0.5,1.75,0.2,0,2,0,0,1.4,0, 0.025, 0.375
447.dealII,447.dealII_12,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_13,2,47,0.0638298,0.0212766,0.468085,1.85106,0.191489,0,2,0,0,1.42553,0, 0.0212766, 0.340426
447.dealII,447.dealII_14,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_15,2,78,0.102564,0.0128205,0.435897,1.91026,0.192308,0,2,0,0,1.46154,0, 0.0128205, 0.307692
447.dealII,447.dealII_16,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_17,3,33,0.0606061,0.030303,0.515152,1.63636,0.212121,0,1,0,0,1.36364,0, 0.030303, 0.393939
447.dealII,447.dealII_18,2,13,0,0.153846,0.384615,1.92308,0.153846,0,2,0,0,1.23077,0, 0.0769231, 0.230769
447.dealII,447.dealII_19,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_20,3,30,0.1,0.0333333,0.5,1.66667,0.2,0,1,0,0,1.36667,0, 0.0333333, 0.366667
447.dealII,447.dealII_21,2,23,0,0.0869565,0.391304,2,0.173913,0,2,0,0,1.34783,0, 0.0434783, 0.26087
447.dealII,447.dealII_22,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_23,3,49,0.163265,0.0204082,0.469388,1.67347,0.204082,0,1,0,0,1.38776,0, 0.0204082, 0.346939
447.dealII,447.dealII_24,2,35,0,0.0571429,0.371429,2.17143,0.171429,0,2,0,0,1.45714,0, 0.0285714, 0.228571
447.dealII,447.dealII_25,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_26,1,1,0,1,0,1,0,0,1,0,0,0,0, 0, 0
447.dealII,447.dealII_27,1,10,0,0.1,0.6,1.9,0.1,0,3,0,0,1.2,0, 0.1, 0.3
447.dealII,447.dealII_28,1,30,0.0666667,0.0333333,0.533333,1.8,0.166667,0,3,0,0,1.4,0, 0.0333333, 0.366667
447.dealII,447.dealII_29,1,37,0.0810811,0.027027,0.486486,1.91892,0.162162,0,3,0,0,1.43243,0, 0.027027, 0.324324
447.dealII,447.dealII_30,1,68,0.117647,0.0147059,0.441176,1.95588,0.176471,0,3,0,0,1.47059,0, 0.0147059, 0.294118
447.dealII,447.dealII_31,2,17,0.117647,0.0588235,0.529412,2.11765,0.0588235,0,1,0,0,1.35294,0, 0.0588235, 0.470588
447.dealII,447.dealII_32,1,23,0,0.0869565,0.478261,2.21739,0.217391,0,1,0,0,1.34783,0, 0.0434783, 0.304348
447.dealII,447.dealII_33,2,17,0.117647,0.0588235,0.529412,2.11765,0.0588235,0,1,0,0,1.35294,0, 0.0588235, 0.470588
447.dealII,447.dealII_34,1,29,0,0.0689655,0.448276,2.48276,0.206897,0,1,0,0,1.41379,0, 0.0344828, 0.275862
447.dealII,447.dealII_35,2,28,0.25,0.0357143,0.464286,2.14286,0.0357143,0,1,0,0,1.35714,0, 0.0357143, 0.428571
447.dealII,447.dealII_36,1,53,0,0.0377358,0.433962,2.60377,0.226415,0,1,0,0,1.49057,0, 0.0188679, 0.264151
447.dealII,447.dealII_37,2,40,0.05,0.025,0.5,1.75,0.2,0,3,0,0,1.4,0, 0.025, 0.375
447.dealII,447.dealII_38,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_39,2,47,0.0638298,0.0212766,0.468085,1.85106,0.191489,0,3,0,0,1.42553,0, 0.0212766, 0.340426
447.dealII,447.dealII_40,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_41,2,78,0.102564,0.0128205,0.435897,1.91026,0.192308,0,3,0,0,1.46154,0, 0.0128205, 0.307692
447.dealII,447.dealII_42,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_43,3,33,0.0606061,0.030303,0.515152,1.63636,0.212121,0,1,0,0,1.36364,0, 0.030303, 0.393939
447.dealII,447.dealII_44,2,13,0,0.153846,0.384615,1.92308,0.153846,0,3,0,0,1.23077,0, 0.0769231, 0.230769
447.dealII,447.dealII_45,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_46,3,30,0.1,0.0333333,0.5,1.66667,0.2,0,1,0,0,1.36667,0, 0.0333333, 0.366667
447.dealII,447.dealII_47,2,23,0,0.0869565,0.391304,2,0.173913,0,3,0,0,1.34783,0, 0.0434783, 0.26087
447.dealII,447.dealII_48,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_49,3,49,0.163265,0.0204082,0.469388,1.67347,0.204082,0,1,0,0,1.38776,0, 0.0204082, 0.346939
447.dealII,447.dealII_50,2,35,0,0.0571429,0.371429,2.17143,0.171429,0,3,0,0,1.45714,0, 0.0285714, 0.228571
447.dealII,447.dealII_51,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_52,1,1,0,1,0,1,0,0,1,0,0,0,0, 0, 0
447.dealII,447.dealII_53,1,10,0,0.1,0.6,1.9,0.1,0,4,0,0,1.2,0, 0.1, 0.3
447.dealII,447.dealII_54,1,30,0.0666667,0.0333333,0.533333,1.8,0.166667,0,4,0,0,1.4,0, 0.0333333, 0.366667
447.dealII,447.dealII_55,1,37,0.0810811,0.027027,0.486486,1.91892,0.162162,0,4,0,0,1.43243,0, 0.027027, 0.324324
447.dealII,447.dealII_56,1,68,0.117647,0.0147059,0.441176,1.95588,0.176471,0,4,0,0,1.47059,0, 0.0147059, 0.294118
447.dealII,447.dealII_57,2,17,0.117647,0.0588235,0.529412,2.11765,0.0588235,0,1,0,0,1.35294,0, 0.0588235, 0.470588
447.dealII,447.dealII_58,1,23,0,0.0869565,0.478261,2.21739,0.217391,0,1,0,0,1.34783,0, 0.0434783, 0.304348
447.dealII,447.dealII_59,2,17,0.117647,0.0588235,0.529412,2.11765,0.0588235,0,1,0,0,1.35294,0, 0.0588235, 0.470588
447.dealII,447.dealII_60,1,29,0,0.0689655,0.448276,2.48276,0.206897,0,1,0,0,1.41379,0, 0.0344828, 0.275862
447.dealII,447.dealII_61,2,28,0.25,0.0357143,0.464286,2.14286,0.0357143,0,1,0,0,1.35714,0, 0.0357143, 0.428571
447.dealII,447.dealII_62,1,53,0,0.0377358,0.433962,2.60377,0.226415,0,1,0,0,1.49057,0, 0.0188679, 0.264151
447.dealII,447.dealII_63,2,40,0.05,0.025,0.5,1.75,0.2,0,4,0,0,1.4,0, 0.025, 0.375
447.dealII,447.dealII_64,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_65,2,47,0.0638298,0.0212766,0.468085,1.85106,0.191489,0,4,0,0,1.42553,0, 0.0212766, 0.340426
447.dealII,447.dealII_66,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_67,2,78,0.102564,0.0128205,0.435897,1.91026,0.192308,0,4,0,0,1.46154,0, 0.0128205, 0.307692
447.dealII,447.dealII_68,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_69,3,33,0.0606061,0.030303,0.515152,1.63636,0.212121,0,1,0,0,1.36364,0, 0.030303, 0.393939
447.dealII,447.dealII_70,2,13,0,0.153846,0.384615,1.92308,0.153846,0,4,0,0,1.23077,0, 0.0769231, 0.230769
447.dealII,447.dealII_71,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_72,3,30,0.1,0.0333333,0.5,1.66667,0.2,0,1,0,0,1.36667,0, 0.0333333, 0.366667
447.dealII,447.dealII_73,2,23,0,0.0869565,0.391304,2,0.173913,0,4,0,0,1.34783,0, 0.0434783, 0.26087
447.dealII,447.dealII_74,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_75,3,49,0.163265,0.0204082,0.469388,1.67347,0.204082,0,1,0,0,1.38776,0, 0.0204082, 0.346939
447.dealII,447.dealII_76,2,35,0,0.0571429,0.371429,2.17143,0.171429,0,4,0,0,1.45714,0, 0.0285714, 0.228571
447.dealII,447.dealII_77,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_78,1,1,0,1,0,1,0,0,1,0,0,0,0, 0, 0
447.dealII,447.dealII_79,1,5,0,0.2,0.4,2.4,0,0,1,8320,0,1,0, 0, 0.4
447.dealII,447.dealII_80,1,5,0,0.2,0.4,2.4,0,0,1,0,0,1,0, 0, 0.4
447.dealII,447.dealII_81,1,4,0,0.25,0.75,1.25,0,0,1,37220,0,1,0, 0.25, 0.5
447.dealII,447.dealII_82,1,5,0,0.2,0.4,2.4,0,0,1,0,0,1,0, 0, 0.4
447.dealII,447.dealII_83,2,23,0,0.130435,0.478261,2.6087,0.0434783,0.0434783,1,0,0,1.26087,0, 0.0434783, 0.304348
447.dealII,447.dealII_84,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_85,2,9,0,0.111111,0.555556,1.88889,0,0,1,0,0,1.44444,0, 0, 0.555556
447.dealII,447.dealII_86,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_87,2,5,0,0.2,0.4,2,0,0,1,0,0,1.2,0, 0, 0.4
447.dealII,447.dealII_88,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_89,2,23,0,0.0434783,0.521739,1.86957,0.130435,0,1,0,0,1.30435,0, 0.0434783, 0.391304
447.dealII,447.dealII_90,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_91,2,23,0,0.130435,0.478261,2,0.0434783,0.0434783,1,0,0,1.26087,0, 0.0434783, 0.304348
447.dealII,447.dealII_92,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_93,2,9,0,0.111111,0.555556,1.55556,0.111111,0,1,0,0,1.22222,0, 0, 0.444444
447.dealII,447.dealII_94,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_95,2,8,0,0.25,0.25,1.875,0.125,0.125,1,0,0,1.125,0, 0, 0.25
447.dealII,447.dealII_96,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_97,2,11,0,0.0909091,0.454545,2,0,0,1,0,0,1.36364,0, 0.0909091, 0.272727
447.dealII,447.dealII_98,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_99,1,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0
447.dealII,447.dealII_100,2,6,0,0.166667,0.5,1.83333,0,0,1,0,0,1.33333,0, 0, 0.5
447.dealII,447.dealII_101,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_102,2,6,0,0.166667,0.5,1.83333,0,0,1,0,0,1.33333,0, 0, 0.5
447.dealII,447.dealII_103,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_104,2,21,0,0.047619,0.52381,2.04762,0.047619,0,1,0,0,1.42857,0, 0, 0.52381
447.dealII,447.dealII_105,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_106,2,11,0,0.0909091,0.454545,2,0,0,1,0,0,1.36364,0, 0.0909091, 0.272727
447.dealII,447.dealII_107,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_108,2,23,0,0.130435,0.478261,2.6087,0.0434783,0.0434783,1,0,0,1.26087,0, 0.0434783, 0.304348
447.dealII,447.dealII_109,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_110,2,9,0,0.111111,0.555556,1.88889,0,0,1,0,0,1.44444,0, 0, 0.555556
447.dealII,447.dealII_111,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_112,2,5,0,0.2,0.4,2,0,0,1,0,0,1.2,0, 0, 0.4
447.dealII,447.dealII_113,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_114,2,23,0,0.0434783,0.521739,1.86957,0.130435,0,1,0,0,1.30435,0, 0.0434783, 0.391304
447.dealII,447.dealII_115,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_116,2,23,0,0.130435,0.478261,2,0.0434783,0.0434783,1,0,0,1.26087,0, 0.0434783, 0.304348
447.dealII,447.dealII_117,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_118,2,9,0,0.111111,0.555556,1.55556,0.111111,0,1,0,0,1.22222,0, 0, 0.444444
447.dealII,447.dealII_119,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_120,2,8,0,0.25,0.25,1.875,0.125,0.125,1,0,0,1.125,0, 0, 0.25
447.dealII,447.dealII_121,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_122,2,11,0,0.0909091,0.454545,2,0,0,1,0,0,1.36364,0, 0.0909091, 0.272727
447.dealII,447.dealII_123,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_124,2,6,0,0.166667,0.5,1.83333,0,0,1,0,0,1.33333,0, 0, 0.5
447.dealII,447.dealII_125,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_126,2,6,0,0.166667,0.5,1.83333,0,0,1,0,0,1.33333,0, 0, 0.5
447.dealII,447.dealII_127,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_128,2,21,0,0.047619,0.52381,2.04762,0.047619,0,1,0,0,1.42857,0, 0, 0.52381
447.dealII,447.dealII_129,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_130,2,11,0,0.0909091,0.454545,2,0,0,1,0,0,1.36364,0, 0.0909091, 0.272727
447.dealII,447.dealII_131,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_132,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
447.dealII,447.dealII_133,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
447.dealII,447.dealII_134,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
447.dealII,447.dealII_135,1,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0
447.dealII,447.dealII_136,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
447.dealII,447.dealII_137,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
447.dealII,447.dealII_138,1,8,0,0.125,0.5,1.75,0.125,0,3,0,0,1.25,0, 0.125, 0.25
447.dealII,447.dealII_139,1,4,0,0.25,0.5,1.5,0,0,1,0,0,1,0, 0, 0.5
447.dealII,447.dealII_140,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
447.dealII,447.dealII_141,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
447.dealII,447.dealII_142,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
447.dealII,447.dealII_143,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
447.dealII,447.dealII_144,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
447.dealII,447.dealII_145,1,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0
447.dealII,447.dealII_146,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
447.dealII,447.dealII_147,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
447.dealII,447.dealII_148,1,8,0,0.125,0.5,1.75,0.125,0,3,0,0,1.25,0, 0.125, 0.25
447.dealII,447.dealII_149,1,4,0,0.25,0.5,1.5,0,0,1,0,0,1,0, 0, 0.5
447.dealII,447.dealII_150,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
447.dealII,447.dealII_151,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
447.dealII,447.dealII_152,2,9,0,0.111111,0.555556,1.88889,0,0,1,0,0,1.44444,0, 0, 0.555556
447.dealII,447.dealII_153,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_154,2,5,0,0.2,0.4,2,0,0,1,0,0,1.2,0, 0, 0.4
447.dealII,447.dealII_155,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_156,2,1,0,1,0,1,0,0,1,0,0,0,0, 0, 0
447.dealII,447.dealII_157,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_158,1,10,0,0.1,0.4,2.9,0.1,0,1,0,0,1.3,0, 0.1, 0.2
447.dealII,447.dealII_159,2,1,0,1,0,1,0,0,1,0,0,0,0, 0, 0
447.dealII,447.dealII_160,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_161,1,10,0,0.1,0.4,2.9,0.1,0,1,0,0,1.3,0, 0.1, 0.2
447.dealII,447.dealII_162,1,19,0,0.0526316,0.473684,1.73684,0.157895,0,1,0,0,1.21053,0, 0.0526316, 0.315789
447.dealII,447.dealII_163,2,8,0,0.25,0.25,1.875,0.125,0.125,1,0,0,1.125,0, 0, 0.25
447.dealII,447.dealII_164,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_165,2,9,0,0.111111,0.555556,1.88889,0,0,1,0,0,1.44444,0, 0, 0.555556
447.dealII,447.dealII_166,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_167,2,5,0,0.2,0.4,2,0,0,1,0,0,1.2,0, 0, 0.4
447.dealII,447.dealII_168,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_169,2,1,0,1,0,1,0,0,1,0,0,0,0, 0, 0
447.dealII,447.dealII_170,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_171,1,10,0,0.1,0.4,2.9,0.1,0,1,0,0,1.3,0, 0.1, 0.2
447.dealII,447.dealII_172,2,1,0,1,0,1,0,0,1,0,0,0,0, 0, 0
447.dealII,447.dealII_173,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_174,1,10,0,0.1,0.4,2.9,0.1,0,1,0,0,1.3,0, 0.1, 0.2
447.dealII,447.dealII_175,2,8,0,0.25,0.25,1.875,0.125,0.125,1,0,0,1.125,0, 0, 0.25
447.dealII,447.dealII_176,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_177,1,5,0,0.2,0.4,2.4,0,0,1,0,0,1,0, 0, 0.4
447.dealII,447.dealII_178,1,10,0,0.1,0.6,1.9,0.2,0,1,0,0,1.2,0, 0.2, 0.2
447.dealII,447.dealII_179,1,5,0,0.2,0.4,2.4,0,0,1,0,0,1,0, 0, 0.4
447.dealII,447.dealII_180,1,6,0,0.166667,0.333333,1.83333,0.333333,0,1,0,0,1,0, 0, 0.333333
447.dealII,447.dealII_181,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
447.dealII,447.dealII_182,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
447.dealII,447.dealII_183,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
447.dealII,447.dealII_184,1,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0
447.dealII,447.dealII_185,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
447.dealII,447.dealII_186,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
447.dealII,447.dealII_187,1,8,0,0.125,0.5,1.75,0.125,0,3,0,0,1.25,0, 0.125, 0.25
447.dealII,447.dealII_188,1,4,0,0.25,0.5,1.5,0,0,1,0,0,1,0, 0, 0.5
447.dealII,447.dealII_189,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
447.dealII,447.dealII_190,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
447.dealII,447.dealII_191,1,5,0,0.2,0.4,2.4,0,0,1,0,0,1,0, 0, 0.4
447.dealII,447.dealII_192,1,10,0,0.1,0.6,1.9,0.2,0,1,0,0,1.2,0, 0.2, 0.2
447.dealII,447.dealII_193,1,5,0,0.2,0.4,2.4,0,0,1,0,0,1,0, 0, 0.4
447.dealII,447.dealII_194,1,6,0,0.166667,0.333333,1.83333,0.333333,0,1,0,0,1,0, 0, 0.333333
447.dealII,447.dealII_195,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
447.dealII,447.dealII_196,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
447.dealII,447.dealII_197,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
447.dealII,447.dealII_198,1,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0
447.dealII,447.dealII_199,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
447.dealII,447.dealII_200,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
447.dealII,447.dealII_201,1,8,0,0.125,0.5,1.75,0.125,0,3,0,0,1.25,0, 0.125, 0.25
447.dealII,447.dealII_202,1,4,0,0.25,0.5,1.5,0,0,1,0,0,1,0, 0, 0.5
447.dealII,447.dealII_203,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
447.dealII,447.dealII_204,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
447.dealII,447.dealII_205,1,4,0,0.25,0.75,1.25,0,0,1,874,0,1,0, 0.25, 0.5
447.dealII,447.dealII_206,1,10,0,0.1,0.8,1.6,0,0,1,0,0,1.2,0, 0.2, 0.4
447.dealII,447.dealII_207,1,4,0,0.25,0.75,1.25,0,0,1,16,0,1,0, 0.25, 0.5
447.dealII,447.dealII_208,1,10,0,0.1,0.8,1.6,0,0,1,0,0,1.2,0, 0.2, 0.4
447.dealII,447.dealII_209,1,6,0,0.166667,0.5,2.16667,0.166667,0,1,0,0,1,0, 0.166667, 0.166667
447.dealII,447.dealII_210,2,12,0,0.166667,0.25,2,0.166667,0.0833333,1,0,0,1.16667,0, 0, 0.166667
447.dealII,447.dealII_211,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_212,2,12,0,0.0833333,0.416667,1.91667,0.0833333,0,1,0,0,1.33333,0, 0.0833333, 0.25
447.dealII,447.dealII_213,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_214,2,11,0,0.0909091,0.454545,1.81818,0.181818,0,1,0,0,1.36364,0, 0, 0.454545
447.dealII,447.dealII_215,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_216,2,12,0,0.0833333,0.416667,2.16667,0.0833333,0,1,0,0,1.25,0, 0.0833333, 0.25
447.dealII,447.dealII_217,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_218,2,23,0,0.130435,0.478261,2,0.0434783,0.0434783,1,0,0,1.26087,0, 0.0434783, 0.304348
447.dealII,447.dealII_219,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_220,2,1,0,1,0,1,0,0,1,0,0,0,0, 0, 0
447.dealII,447.dealII_221,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_222,1,11,0,0.0909091,0.363636,3,0.0909091,0,1,0,0,1.27273,0, 0.0909091, 0.181818
447.dealII,447.dealII_223,2,1,0,1,0,1,0,0,1,0,0,0,0, 0, 0
447.dealII,447.dealII_224,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_225,1,11,0,0.0909091,0.363636,3,0.0909091,0,1,0,0,1.27273,0, 0.0909091, 0.181818
447.dealII,447.dealII_226,2,15,0,0.0666667,0.466667,2.2,0,0,1,0,0,1.4,0, 0, 0.333333
447.dealII,447.dealII_227,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_228,2,8,0,0.125,0.375,2.125,0,0,1,0,0,1.25,0, 0, 0.25
447.dealII,447.dealII_229,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
447.dealII,447.dealII_230,2,11,0,0.181818,0.272727,2.09091,0.0909091,0.0909091,1,0,0,1.18182,0, 0, 0.181818
